"stock","Region1Name","Region2Name","Region3Name","Region4Name","id_type","pst_agg"
"EEL_F","California_Coast","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"EEL_R","California_Coast","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"RUSSIAN_R","California_Coast","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"AMERICAN","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"AMERICAN_R","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"AMERICAN_RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"BATTLE_CR","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"BATTLE_CREEK","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"BUTTE_CR_F","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"BUTTE_F","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"CLEAR_CR","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"CLEAR_CR_H","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"FEATHER_F","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"FEATHER_H_FA","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"MERCED","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"MOKELUMNE","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"SACR_F","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"SACR_LF","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"STANISLAUS","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"STANISLAUS_R","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"TOULUMNE","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"YUBA","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"YUBA_SP","Central_Valley_fa","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"AMERICAN_SP","Central_Valley_sp","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"BUTTE_CR_SP","Central_Valley_sp","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"BUTTE_SP","Central_Valley_sp","California","Oregon/California","CoastUS","gsi","CA_ORCST"
"DEER_CR_SP","Central_Valley_sp","California","Oregon/California","CoastUS","gsi","CA_ORCST"
