"stock","Region1Name","Region2Name","Region3Name","Region4Name","pst_agg"
"EEL_R","California_Coast","California","Oregon/California","CoastUS","CA_ORCST"
"EEL_RIVER_FALL","California_Coast","California","Oregon/California","CoastUS","CA_ORCST"
"RUSSIAN_R","California_Coast","California","Oregon/California","CoastUS","CA_ORCST"
"SALMON_CAL","California_Coast","California","Oregon/California","CoastUS","CA_ORCST"
"AMERICAN","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"AMERICAN RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"AMERICAN_RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"BATTLE_CR","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"BATTLE_CREEK","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"BUTTE_CR_F","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"BUTTE_CREEK_FALL","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"BUTTE_F","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"CLEAR_CR","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"CLEAR_CR_H","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"COLEMAN NFH","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER R HATCHERY","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER_F","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER_H_FA","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER_RIVER_FALL","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"MARBLE_CREEK_CC","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"MERCED","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"MERCED RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"MERCED_RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"MOK R FISH INS","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"MOKELUMNE","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"MOKELUMNE RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"NIMBUS FISH HATCHERY","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"SACRAMENTO_H","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"SACRAMENTO_RIVER-LATE_FALL","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"STANISLAUS","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"STANISLAUS_R","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"STANISLAUS_RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"TOULUMNE","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"TOULUMNE_RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"YUBA","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"YUBA_RIVER._FALL","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"YUBA_RIVER_FALL","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"YUBA_RIVER_SPRING","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"YUBA_SP","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"AMERICAN_SP","Central_Valley_sp","California","Oregon/California","CoastUS","CA_ORCST"
"BUTTE_CR_SP","Central_Valley_sp","California","Oregon/California","CoastUS","CA_ORCST"
"BUTTE_CREEK","Central_Valley_sp","California","Oregon/California","CoastUS","CA_ORCST"
"DEER_CR_SP","Central_Valley_sp","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER_H_SP","Central_Valley_sp","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER_RIVER_SPRING","Central_Valley_sp","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER_SP","Central_Valley_sp","California","Oregon/California","CoastUS","CA_ORCST"
"MILL_CR_SP","Central_Valley_sp","California","Oregon/California","CoastUS","CA_ORCST"
"SALMON_RIVER_CA_SPRING","Central_Valley_sp","California","Oregon/California","CoastUS","CA_ORCST"
"WARM_SPRINGS_H","Central_Valley_sp","California","Oregon/California","CoastUS","CA_ORCST"
"IRON GATE HATCHERY","Klamath_R","California","Oregon/California","CoastUS","CA_ORCST"
"KLAMATH RIVER","Klamath_R","California","Oregon/California","CoastUS","CA_ORCST"
"KLAMATH_R_FA","Klamath_R","California","Oregon/California","CoastUS","CA_ORCST"
"TRINITY RIVER","Klamath_R","California","Oregon/California","CoastUS","CA_ORCST"
"TRINITY_F","Klamath_R","California","Oregon/California","CoastUS","CA_ORCST"
"TRINITY_H_SP","Klamath_R","California","Oregon/California","CoastUS","CA_ORCST"
"TRINITY_RIVER_HATCHERY_FALL","Klamath_R","California","Oregon/California","CoastUS","CA_ORCST"
"TRINITY_SP","Klamath_R","California","Oregon/California","CoastUS","CA_ORCST"
"ALSEA_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COOS R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COOS_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ELK","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ELK R HATCHERY","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ELK_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"GARDINER CR (UMPQUA)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"MILLICOMA HATCHERY(STEP)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"MILLICOMA_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"MORGAN CR (STEP-COOS","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NOBLE CR (STEP-COOS)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"S_COOS_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"S_UMPQUA_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SALMON R HATCHERY","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SIUSLAW","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SIUSLAW R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SIUSLAW_RIVER","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SIXES_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SMITH_RIVER_(UMPQUA)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SMITH_RIVER__UMPQUA","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SMITH_RIVER_UMPQUA","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"UMPQUA R (ROCK CR HT)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"UMPQUA_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"UMPQUA_SMITH","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"UMPQUA_SP","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"UMPQUA_SPRING","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"APPLEGATE_CR","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"CHETCO R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"CHETCO_R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLE","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLE_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLE_RIVERS_H","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COQUILLE R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COQUILLE_R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ELK R (ELK R HT)","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"HUNTER_CR","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"HUNTER_CREEK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"LOBSTER_CR","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"LOBSTER_CREEK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"PISTOL","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"PISTOL_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ROWDY CREEK HATCHERY","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ROWDY CREEK, SMITH R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"WINCHUK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"WINCHUK_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"EUCHRE_CR","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"EUCHRE_CREEK","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NECANICUM_H","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NEHALEM","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NEHALEM_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NEHALEM_RIVER","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NESTUCCA R (CEDAR CR","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NESTUCCA_F","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NESTUCCA_H","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NESTUCCA_RIVER_FALL","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TRASK R (TRASK HT)","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TRASK R HATCHERY","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TRASK_HAT_F","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TRASK_HATCHERY","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TRASK_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"WILSON_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLE RIVERS HATCHERY","Rogue_R","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLUMBIA_ROGUE","Rogue_R","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"DUNGENESS R  18.0018","Juan_de_Fuca","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"DUNGENESS_R","Juan_de_Fuca","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"ELWHA R      18.0272","Juan_de_Fuca","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"HOKO R       19.0148","Juan_de_Fuca","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"CHEHALIS RIVER H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"CHEHALIS_RIVER","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"CHEHALIS_RIVER_SUMMER","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"COOK CR      21.0429","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"ELWHA HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"ELWHA_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"ELWHA_FALL","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"FORKS CREEK HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"FORKS_CR_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
