"stock","Region1Name","Region2Name","Region3Name","Region4Name"
"EEL_F","California_Coast","California","Oregon/California","CoastUS"
"EEL_R","California_Coast","California","Oregon/California","CoastUS"
"RUSSIAN_R","California_Coast","California","Oregon/California","CoastUS"
"AMERICAN","Central_Valley_fa","California","Oregon/California","CoastUS"
"AMERICAN RIVER","Central_Valley_fa","California","Oregon/California","CoastUS"
"AMERICAN_R","Central_Valley_fa","California","Oregon/California","CoastUS"
"AMERICAN_RIVER","Central_Valley_fa","California","Oregon/California","CoastUS"
"BATTLE_CR","Central_Valley_fa","California","Oregon/California","CoastUS"
"BATTLE_CREEK","Central_Valley_fa","California","Oregon/California","CoastUS"
"BUTTE_CR_F","Central_Valley_fa","California","Oregon/California","CoastUS"
"BUTTE_CREEK_FALL","Central_Valley_fa","California","Oregon/California","CoastUS"
"BUTTE_F","Central_Valley_fa","California","Oregon/California","CoastUS"
"CLEAR_CR","Central_Valley_fa","California","Oregon/California","CoastUS"
"CLEAR_CR_H","Central_Valley_fa","California","Oregon/California","CoastUS"
"COLEMAN NFH","Central_Valley_fa","California","Oregon/California","CoastUS"
"FEATHER R HATCHERY","Central_Valley_fa","California","Oregon/California","CoastUS"
"FEATHER RIVER","Central_Valley_fa","California","Oregon/California","CoastUS"
"FEATHER_F","Central_Valley_fa","California","Oregon/California","CoastUS"
"FEATHER_H_FA","Central_Valley_fa","California","Oregon/California","CoastUS"
"FEATHER_RIVER_FALL","Central_Valley_fa","California","Oregon/California","CoastUS"
"MARBLE_CREEK_CC","Central_Valley_fa","California","Oregon/California","CoastUS"
"MERCED","Central_Valley_fa","California","Oregon/California","CoastUS"
"MERCED RIVER","Central_Valley_fa","California","Oregon/California","CoastUS"
"MERCED_RIVER","Central_Valley_fa","California","Oregon/California","CoastUS"
"MOKELUMNE","Central_Valley_fa","California","Oregon/California","CoastUS"
"MOKELUMNE RIVER","Central_Valley_fa","California","Oregon/California","CoastUS"
"SACR_F","Central_Valley_fa","California","Oregon/California","CoastUS"
"SACR_LF","Central_Valley_fa","California","Oregon/California","CoastUS"
"SACRAMENTO_H","Central_Valley_fa","California","Oregon/California","CoastUS"
"SACRAMENTO_RIVER-LATE_FALL","Central_Valley_fa","California","Oregon/California","CoastUS"
"STANISLAUS","Central_Valley_fa","California","Oregon/California","CoastUS"
"STANISLAUS_R","Central_Valley_fa","California","Oregon/California","CoastUS"
"TOULUMNE","Central_Valley_fa","California","Oregon/California","CoastUS"
"YUBA","Central_Valley_fa","California","Oregon/California","CoastUS"
"YUBA_RIVER_SPRING","Central_Valley_fa","California","Oregon/California","CoastUS"
"YUBA_RIVER._FALL","Central_Valley_fa","California","Oregon/California","CoastUS"
"YUBA_SP","Central_Valley_fa","California","Oregon/California","CoastUS"
"AMERICAN_SP","Central_Valley_sp","California","Oregon/California","CoastUS"
"BUTTE_CR_SP","Central_Valley_sp","California","Oregon/California","CoastUS"
"BUTTE_CREEK","Central_Valley_sp","California","Oregon/California","CoastUS"
"BUTTE_SP","Central_Valley_sp","California","Oregon/California","CoastUS"
"DEER_CR_SP","Central_Valley_sp","California","Oregon/California","CoastUS"
"FEATHER_H_SP","Central_Valley_sp","California","Oregon/California","CoastUS"
"FEATHER_RIVER_SPRING","Central_Valley_sp","California","Oregon/California","CoastUS"
"FEATHER_SP","Central_Valley_sp","California","Oregon/California","CoastUS"
"MILL_CR_SP","Central_Valley_sp","California","Oregon/California","CoastUS"
"SALMON_RIVER_CA_SPRING","Central_Valley_sp","California","Oregon/California","CoastUS"
"IRON GATE HATCHERY","Klamath_R","California","Oregon/California","CoastUS"
"KLAMATH_R_FA","Klamath_R","California","Oregon/California","CoastUS"
"SALMON_CAL","Klamath_R","California","Oregon/California","CoastUS"
"TRINITY RIVER","Klamath_R","California","Oregon/California","CoastUS"
"TRINITY_F","Klamath_R","California","Oregon/California","CoastUS"
"TRINITY_H_SP","Klamath_R","California","Oregon/California","CoastUS"
"TRINITY_SP","Klamath_R","California","Oregon/California","CoastUS"
"ALSEA_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"CLEELMHATCH","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COOS R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COOS_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COQUILLE R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COQUILLE_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"ELK","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"ELK_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"ELK_RIVER","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"GARDINER CR (UMPQUA)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"MILLICOMA_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"S_COOS_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"S_UMPQUA_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"SIUSLAW","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"SIUSLAW R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"SIUSLAW_RIVER","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"SIXES_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"SMITH_RIVER__UMPQUA","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"SMITH_RIVER_(UMPQUA)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"UMPQUA R (ROCK CR HT)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"UMPQUA_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"UMPQUA_SMITH","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"UMPQUA_SP","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"UMPQUA_SPRING","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"APPLEGATE_CR","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"CHETCO R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"CHETCO_R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COLE","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COLE RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COLE_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COLE_RIVERS_H","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"ELK R (ELK R HT)","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"HUNTER_CR","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"HUNTER_CREEK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"LOBSTER_CR","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"LOBSTER_CREEK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"PISTOL","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"PISTOL_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"WINCHUK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"EUCHRE_CR","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"EUCHRE_CREEK","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"KILCHIS_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"NECANICUM_H","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"NEHALEM","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"NEHALEM_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"NESTUCCA R (CEDAR CR","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"NESTUCCA_F","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"NESTUCCA_H","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"NESTUCCA_RIVER_FALL","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"SALMON_RIVER_SOTH","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"SALMON_RIVER(THOM)","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"TRASK R (TRASK HT)","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"TRASK_HAT_F","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"TRASK_HAT_SP","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"TRASK_HATCHERY","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"TRASK_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"WILSON_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COLE RIVERS HATCHERY","Rogue_R","Oregon Coastal North Migrating","Oregon/California","CoastUS"
"COLUMBIA_ROGUE","Rogue_R","Oregon Coastal North Migrating","Oregon/California","CoastUS"
