"stock","Region1Name","Region2Name","Region3Name","Region4Name","pst_agg"
"EEL_F","California_Coast","California","Oregon/California","CoastUS","CA_ORCST"
"EEL_R","California_Coast","California","Oregon/California","CoastUS","CA_ORCST"
"EEL_RIVER_FALL","California_Coast","California","Oregon/California","CoastUS","CA_ORCST"
"RUSSIAN_R","California_Coast","California","Oregon/California","CoastUS","CA_ORCST"
"SALMON_CAL","California_Coast","California","Oregon/California","CoastUS","CA_ORCST"
"SALMON_RIVER_CA_SPRING","California_Coast","California","Oregon/California","CoastUS","CA_ORCST"
"AMERICAN","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"AMERICAN RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"AMERICAN_R","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"AMERICAN_RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"BATTLE_CR","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"BATTLE_CREEK","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"BUTTE_CREEK_FALL","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"BUTTE_F","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"CLEAR_CR","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"CLEAR_CR_H","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"COLEMAN NFH","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER R HATCHERY","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER RIVER","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER_F","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER_H_FA","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"FEATHER_RIVER_FALL","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"MARBLE_CREEK_CC","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
"MERCED","Central_Valley_fa","California","Oregon/California","CoastUS","CA_ORCST"
