stock,Region1Name,Region2Name,Region3Name,Region4Name,pst_agg,juv_marine
EEL_F,California_Coast,California,Oregon/California,CoastUS,CA_ORCST,Cali
EEL_R,California_Coast,California,Oregon/California,CoastUS,CA_ORCST,Cali
EEL_RIVER_FALL,California_Coast,California,Oregon/California,CoastUS,CA_ORCST,Cali
RUSSIAN_R,California_Coast,California,Oregon/California,CoastUS,CA_ORCST,Cali
SALMON_CAL,California_Coast,California,Oregon/California,CoastUS,CA_ORCST,Cali
SALMON_RIVER_CA_SPRING,California_Coast,California,Oregon/California,CoastUS,CA_ORCST,Cali
AMERICAN,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
AMERICAN RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
AMERICAN_R,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
AMERICAN_RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
BATTLE_CR,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
BATTLE_CREEK,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
BUTTE_CREEK_FALL,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
BUTTE_F,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
CLEAR_CR,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
CLEAR_CR_H,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
COLEMAN NFH,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
FEATHER R HATCHERY,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
FEATHER RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
FEATHER_F,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
FEATHER_H_FA,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
FEATHER_RIVER_FALL,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
MARBLE_CREEK_CC,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
MERCED,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
MERCED RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
MERCED_RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
MOK R FISH INS,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
MOKELUMNE,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
MOKELUMNE RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
NIMBUS FISH HATCHERY,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
SACRAMENTO_H,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
SACRAMENTO_RIVER-LATE_FALL,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
SACR_F,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
SACR_LF,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
STANISLAUS,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
STANISLAUS_R,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
STANISLAUS_RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali
