"aggregate","management_unit","stock"
"CA_ORCST","California_Coast","EEL_R"
"CA_ORCST","California_Coast","EEL_RIVER_FALL"
"CA_ORCST","California_Coast","RUSSIAN_R"
"CA_ORCST","California_Coast","SALMON_CAL"
"CA_ORCST","Central_Valley_fa","AMERICAN"
"CA_ORCST","Central_Valley_fa","AMERICAN RIVER"
"CA_ORCST","Central_Valley_fa","AMERICAN_RIVER"
"CA_ORCST","Central_Valley_fa","BATTLE_CR"
"CA_ORCST","Central_Valley_fa","BATTLE_CREEK"
"CA_ORCST","Central_Valley_fa","BUTTE_CR_F"
"CA_ORCST","Central_Valley_fa","BUTTE_CREEK_FALL"
"CA_ORCST","Central_Valley_fa","BUTTE_F"
"CA_ORCST","Central_Valley_fa","CLEAR_CR"
"CA_ORCST","Central_Valley_fa","CLEAR_CR_H"
"CA_ORCST","Central_Valley_fa","COLEMAN NFH"
"CA_ORCST","Central_Valley_fa","FEATHER R HATCHERY"
"CA_ORCST","Central_Valley_fa","FEATHER RIVER"
"CA_ORCST","Central_Valley_fa","FEATHER_F"
"CA_ORCST","Central_Valley_fa","FEATHER_H_FA"
"CA_ORCST","Central_Valley_fa","FEATHER_RIVER_FALL"
"CA_ORCST","Central_Valley_fa","MARBLE_CREEK_CC"
"CA_ORCST","Central_Valley_fa","MERCED"
"CA_ORCST","Central_Valley_fa","MERCED RIVER"
"CA_ORCST","Central_Valley_fa","MERCED_RIVER"
"CA_ORCST","Central_Valley_fa","MOK R FISH INS"
"CA_ORCST","Central_Valley_fa","MOKELUMNE"
"CA_ORCST","Central_Valley_fa","MOKELUMNE RIVER"
"CA_ORCST","Central_Valley_fa","NIMBUS FISH HATCHERY"
"CA_ORCST","Central_Valley_fa","SACRAMENTO_H"
"CA_ORCST","Central_Valley_fa","SACRAMENTO_RIVER-LATE_FALL"
"CA_ORCST","Central_Valley_fa","STANISLAUS"
"CA_ORCST","Central_Valley_fa","STANISLAUS_R"
"CA_ORCST","Central_Valley_fa","STANISLAUS_RIVER"
"CA_ORCST","Central_Valley_fa","TOULUMNE"
