stock,Region1Name,Region2Name,Region3Name,Region4Name,pst_agg,juv_marine,juv_marine_updated
EEL_R,California_Coast,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
EEL_RIVER_FALL,California_Coast,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
RUSSIAN_R,California_Coast,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
SALMON_CAL,California_Coast,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
SALMON_RIVER_CA_SPRING,California_Coast,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
AMERICAN,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
AMERICAN RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
AMERICAN_RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
BATTLE_CR,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
BATTLE_CREEK,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
BUTTE_CREEK_FALL,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
BUTTE_CR_F,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
BUTTE_F,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
CLEAR_CR,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
CLEAR_CR_H,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
COLEMAN NFH,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
FEATHER R HATCHERY,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
FEATHER RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
FEATHER_F,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
FEATHER_H_FA,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
FEATHER_RIVER_FALL,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
MARBLE_CREEK_CC,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
MERCED,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
MERCED RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
MERCED_RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
MOK R FISH INS,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
MOKELUMNE,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
MOKELUMNE RIVER,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
NIMBUS FISH HATCHERY,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
SACRAMENTO_H,Central_Valley_fa,California,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
