repunit,CU,CU_NAME,collection
Russia,RU-01,Russia,APUKA_RIVER
Russia,RU-01,Russia,AVACHA
Russia,RU-01,Russia,BISTRAYA_RIVER
Russia,RU-01,Russia,BOLSHAYA_RIVER
Russia,RU-01,Russia,ICHA_RIVER
Russia,RU-01,Russia,KAMCHATKA_RIVER
Russia,RU-01,Russia,KARYMAY_RIVER
Russia,RU-01,Russia,KIKCHIK_RIVER
Russia,RU-01,Russia,KOL_RIVER
Russia,RU-01,Russia,PAHACHA_RIVER
Russia,RU-01,Russia,PALANA_RIVER
Russia,RU-01,Russia,PYMTA_RIVER
Russia,RU-01,Russia,TIGIL_RIVER
Russia,RU-01,Russia,VOROVSKAJA_RIVER
AKK,AK-02,Alaska_Koyukuk River,GISASA_RIVER
AKK,AK-02,Alaska_Koyukuk River,HENSHAW_CREEK
AKK,AK-02,Alaska_Koyukuk River,KATEEL_RIVER
AKK,AK-02,Alaska_Koyukuk River,KOYUKUK_RIVER_MID_FORK
AKK,AK-02,Alaska_Koyukuk River,KOYUKUK_RIVER_SOUTH_FORK
AKT,AK-03,Alaska_Tanana River,CHATANIKA_RIVER
AKT,AK-03,Alaska_Tanana River,CHENA_RIVER
AKT,AK-03,Alaska_Tanana River,GOODPASTER_RIVER
AKT,AK-03,Alaska_Tanana River,KANTISHNA_RIVER
AKT,AK-03,Alaska_Tanana River,SALCHA_RIVER
AKT,AK-03,Alaska_Tanana River,TEEDRAANJIK_RIVER
AKYR-L,AK-04,Alaska_Lower Yukon River,ANDREAFSKY_RIVER
AKYR-L,AK-04,Alaska_Lower Yukon River,ANDREAFSKY_RIVER_EAST_FORK
AKYR-L,AK-04,Alaska_Lower Yukon River,ANVIK_RIVER
AKYR-L,AK-04,Alaska_Lower Yukon River,ARCHUELINGIK_RIVER
AKYR-M,AK-05,Alaska_Mid Yukon River,NULATO_RIVER_NORTH_FORK
AKYR-M,AK-05,Alaska_Mid Yukon River,NULATO_RIVER_SOUTH_FORK
AKYR-M,AK-05,Alaska_Mid Yukon River,TOZITA_RIVER
AKYR-U,AK-06,Alaska_Upper Yukon River,BEAVER_CREEK
AKYR-U,AK-06,Alaska_Upper Yukon River,CHANDALAR_RIVER
AKYR-U,AK-06,Alaska_Upper Yukon River,KANDIK_RIVER
AKYR-U,AK-06,Alaska_Upper Yukon River,SHEENJEK_RIVER
NYR,76,Northern Yukon River and tributaries,CHANDINDU_RIVER
NYR,76,Northern Yukon River and tributaries,KLONDIKE_RIVER
